name,side,origin_bar,outcome,matched_baseline,baseline_net
wait12,S,10662,second_entry,True,-167.78402024567558
wait12,L,10677,cross_blocked,True,-1.36
wait12,L,10803,second_entry,True,271.35118790097727
wait12,L,10823,expired,True,31.53532623239785
wait12,S,10858,cross_blocked,True,61.67965362546105
wait12,S,10882,expired,True,81.73582861091246
wait12,L,10949,second_entry,True,-6.1
wait12,S,11027,second_entry,True,-41.20485966989328
wait12,L,11190,expired,True,152.77
wait12,L,11214,cross_blocked,True,8.530966530756556
wait12,S,11307,expired,True,53.48206728184744
wait12,S,11334,second_entry,True,-40.47434393813037
wait12,L,11347,second_entry,True,-24.22000599256355
wait12,L,11386,expired,True,-86.13519406250734
wait12,L,11472,second_entry,True,31.223258065334655
wait12,L,11483,expired,True,-54.72910389957265
wait12,L,11504,second_entry,True,-38.69031923025649
wait12,L,11527,second_entry,True,-6.967563437213013
wait12,L,11651,second_entry,True,-6.489692340089176
wait12,S,11670,second_entry,False,
wait12,S,11691,expired,True,-25.37950492548435
wait12,S,11717,cross_blocked,False,
wait12,L,11810,second_entry,True,-0.1954359707156272
wait12,S,11892,expired,True,-35.80191220469256
wait12,S,11971,expired,True,86.84453337004038
wait12,S,12009,cross_blocked,True,34.14560340022936
wait12,S,12053,second_entry,True,-87.02647942206686
wait12,L,12131,cross_blocked,True,-33.122616705978864
wait12,L,12176,expired,False,
wait12,S,12203,expired,True,68.504161269521
wait12,S,12318,second_entry,True,84.89309727661998
wait12,S,12346,expired,True,81.10055603796255
wait12,L,12395,expired,True,174.53587356425035
wait12,S,12507,expired,True,35.51260529735108
wait12,L,12530,second_entry,True,16.300479594663777
wait12,S,12540,expired,True,77.44
wait12,L,12557,expired,True,149.8330174058244
wait12,L,12629,cross_blocked,True,-22.91
wait12,L,12675,expired,True,33.07253517570161
wait12,S,12682,cross_blocked,True,56.20509207864542
wait12,S,12706,second_entry,True,-62.7036096591622
wait12,S,12826,expired,True,-84.66124705779703
wait12,L,12835,second_entry,True,125.77774798619105
wait12,L,12848,expired,True,177.71939694253405
wait12,S,12875,expired,True,127.51566968578982
wait12,S,12895,expired,True,31.48
wait12,L,12971,expired,True,133.46868468381612
wait12,S,13036,second_entry,True,43.71198344652854
wait12,S,13062,expired,True,74.09
wait12,L,13157,second_entry,True,41.71195564497207
wait12,L,13220,expired,True,83.93
wait12,S,13351,expired,True,71.41
wait12,S,13372,second_entry,True,48.83
wait12,S,13538,expired,True,66.52865137191294
wait12,S,13566,expired,True,94.42
wait12,L,13637,second_entry,True,13.44
wait12,L,13677,cross_blocked,True,26.497242357905492
wait12,L,13682,expired,False,
wait12,S,13713,expired,True,-69.82605870102284
wait12,S,13737,cross_blocked,True,-8.018343569354231
wait12,S,13831,cross_blocked,True,-54.2989361228484
wait12,L,13850,expired,True,-0.7347229833096558
wait12,S,13859,expired,False,
wait12,S,13882,expired,True,-49.54087045461809
wait12,L,13904,expired,False,
wait12,L,13995,expired,True,-38.23081445445885
wait12,S,14003,cross_blocked,False,
wait12,S,14050,cross_blocked,False,
wait12,S,14169,second_entry,False,
wait12,L,14183,expired,True,34.35
wait12,S,14204,expired,False,
wait12,L,14398,expired,True,12.94
wait12,L,14496,second_entry,True,-24.653667223106485
wait12,L,14836,expired,True,-46.21
wait12,S,14840,second_entry,True,-15.726505170115749
wait12,S,14907,second_entry,True,7.98089591431054
wait12,L,14983,second_entry,True,14.409430761640571
wait12,S,15034,cross_blocked,True,80.84472139746285
wait12,S,15178,expired,True,62.44
wait12,S,15208,second_entry,True,92.2477447406528
wait12,S,15239,expired,True,102.73
wait12,S,15333,second_entry,True,-32.12854510613719
wait12,L,15389,cross_blocked,True,-45.13
wait12,L,15487,expired,True,172.21
wait12,S,15533,cross_blocked,True,-14.639615300437812
wait12,S,15564,expired,True,-78.87344448537709
wait12,L,15652,expired,True,14.28
wait12,S,15674,expired,True,148.7931589567837
wait12,L,15692,cross_blocked,True,10.701217234727928
wait12,L,15704,expired,False,
wait12,L,15723,expired,True,-48.45162021035141
wait12,S,15730,expired,True,-82.370157490192
wait12,S,15845,expired,True,75.48
wait12,L,15894,expired,True,160.44
wait12,L,15910,second_entry,True,13.288721611657406
wait12,S,16043,cross_blocked,True,-30.699214648927462
wait12,L,16183,expired,True,131.9
wait12,S,16228,expired,True,75.96
wait12,S,16250,expired,True,-19.05054979338639
wait12,L,16341,second_entry,True,52.36329893309847
wait12,S,16371,second_entry,True,-71.53129226295898
wait12,S,16396,second_entry,True,72.9212869674764
wait12,L,16420,expired,True,-73.83
wait12,S,16426,expired,True,-11.774269760284156
wait12,S,16548,second_entry,True,-57.044317650554845
wait12,L,16567,second_entry,True,0.9103785384182008
wait12,L,16874,second_entry,True,16.188383034854816
wait12,L,17012,expired,True,-41.91
wait12,L,17071,second_entry,True,12.2
wait12,L,17086,cross_blocked,True,17.30788007891263
wait12,S,17201,cross_blocked,True,-37.57390587939637
wait12,S,17255,second_entry,True,-27.695329760997605
wait12,L,17490,second_entry,True,1.489193586772778
wait24,S,381,second_entry,True,-33.06697761076196
wait24,S,417,second_entry,True,60.30062107569949
wait24,L,555,expired,True,-118.87835224213303
wait24,S,562,expired,True,83.43868175993198
wait24,L,622,cross_blocked,False,
wait24,L,626,second_entry,False,
wait24,L,730,cross_blocked,False,
wait24,L,742,second_entry,False,
wait24,S,748,second_entry,True,30.184195827172665
wait24,S,890,second_entry,True,30.899750260145684
wait24,S,1053,expired,True,4.56132973810542
wait24,S,1084,expired,True,92.57039151128552
wait24,S,1277,second_entry,True,119.11
wait24,S,1294,cross_blocked,True,-26.319584650201666
wait24,L,1305,expired,True,35.7
wait24,L,1396,second_entry,True,-5.85
wait24,L,1428,expired,True,150.87
wait24,L,1471,second_entry,True,-19.5
wait24,S,1584,second_entry,True,79.16
wait24,S,1618,expired,True,109.26871198326111
wait24,S,1732,second_entry,True,-32.708625455419465
wait24,L,1784,expired,True,171.29
wait24,L,1876,expired,True,117.02
wait24,S,1900,expired,True,86.53
wait24,L,1927,expired,True,145.74423707527825
wait24,S,2070,second_entry,True,67.74
wait24,L,2083,second_entry,True,12.434559852911391
wait24,L,2118,cross_blocked,True,-25.40629451882355
wait24,S,2128,second_entry,True,25.4
wait24,S,2241,second_entry,True,114.86800046183971
wait24,L,2259,second_entry,True,117.09032214101276
wait24,L,2279,expired,True,25.26
wait24,L,2579,second_entry,True,24.178519545118508
wait24,L,2598,second_entry,True,18.45
wait24,S,2621,expired,True,39.61048804353377
wait24,S,2910,expired,True,96.76
wait24,L,3070,expired,True,128.91884421936194
wait24,L,3149,expired,True,12.67829237499633
wait24,S,3268,second_entry,True,42.61885241412881
wait24,L,3408,expired,True,-11.361495806184626
wait24,L,3456,expired,True,21.671323681459864
wait24,L,3568,second_entry,True,148.92
wait24,L,3608,second_entry,True,-22.32
wait24,S,3635,expired,True,57.80491671542466
wait24,L,3658,expired,True,-150.13304620269395
wait24,L,3725,second_entry,True,5.37
wait24,S,3754,cross_blocked,True,68.75002274953377
wait24,L,3787,second_entry,True,-38.370646
wait24,S,3800,expired,True,-20.379039543491245
wait24,L,3814,expired,True,20.1
wait24,L,3939,second_entry,True,3.9080765193054
wait24,L,3967,second_entry,True,-19.10307913903424
wait24,S,3972,expired,True,-46.725689097206086
wait24,L,3986,second_entry,True,33.095048655712
wait24,S,4113,expired,True,-8.57
wait24,L,4134,expired,True,-65.3080305389704
wait24,S,4139,cross_blocked,True,87.0323945055605
wait24,S,4144,second_entry,False,
wait24,S,4240,expired,True,95.66441467629858
wait24,L,4275,cross_blocked,True,84.18188921242474
wait24,L,4396,second_entry,True,47.64
wait24,L,4422,second_entry,True,-32.56
wait24,L,4490,expired,True,10.453194557132376
wait24,S,4587,second_entry,True,13.152595087481362
wait24,L,4615,expired,True,57.29
wait24,S,4634,expired,True,64.31182297414328
wait24,S,4786,expired,True,51.58127157282073
wait24,S,4824,expired,True,121.48
wait24,L,4923,expired,True,29.685131122745357
wait24,S,4946,second_entry,True,-100.87719166278544
