bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4532,2025-03-16 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4533,2025-03-16 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4534,2025-03-16 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4535,2025-03-16 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4536,2025-03-16 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4537,2025-03-16 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4538,2025-03-16 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4539,2025-03-16 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4540,2025-03-16 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4541,2025-03-16 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4542,2025-03-16 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4543,2025-03-16 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4544,2025-03-16 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4545,2025-03-16 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4546,2025-03-16 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4547,2025-03-16 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4548,2025-03-17 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4549,2025-03-17 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4550,2025-03-17 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4551,2025-03-17 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4552,2025-03-17 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4553,2025-03-17 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4554,2025-03-17 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4555,2025-03-17 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4556,2025-03-17 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4557,2025-03-17 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4558,2025-03-17 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4559,2025-03-17 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4560,2025-03-17 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4561,2025-03-17 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4562,2025-03-17 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4563,2025-03-17 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4564,2025-03-17 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4565,2025-03-17 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4566,2025-03-17 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4567,2025-03-17 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4568,2025-03-17 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4569,2025-03-17 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4570,2025-03-17 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4571,2025-03-17 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4572,2025-03-18 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4573,2025-03-18 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4574,2025-03-18 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4575,2025-03-18 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4576,2025-03-18 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4577,2025-03-18 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4578,2025-03-18 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4579,2025-03-18 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
