side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars
long,73977.427003,2026-03-17 22:40:00+00:00,74234.4154584994,2026-03-17 23:20:00+00:00,breakeven_sl,5.610866738763403,True,8
long,73853.544616,2026-03-18 05:55:00+00:00,74103.49,2026-03-18 06:20:00+00:00,adaptive_trail,5.113041134749245,True,5
long,73207.330001,2026-03-18 11:35:00+00:00,72971.35857242857,2026-03-18 11:40:00+00:00,stop_loss,-8.046661244665136,False,1
short,70520.9472,2026-03-19 19:25:00+00:00,70520.9472,2026-03-19 20:15:00+00:00,breakeven_sl,0.5549358953266444,True,10
short,70542.285066,2026-03-19 19:20:00+00:00,70453.29,2026-03-19 20:20:00+00:00,adaptive_trail,2.577557524268083,True,12
short,71267.022585,2026-03-20 08:15:00+00:00,70817.5785669092,2026-03-20 09:15:00+00:00,adaptive_trail,10.374557189723385,True,12
short,71209.298358,2026-03-23 11:10:00+00:00,70963.19,2026-03-23 11:15:00+00:00,adaptive_trail,7.146552901650876,True,1
short,70956.093681,2026-03-23 11:15:00+00:00,70956.093681,2026-03-23 11:30:00+00:00,breakeven_sl,1.9306185411235859,True,3
short,70716.097683,2026-03-23 11:20:00+00:00,70266.24,2026-03-23 12:20:00+00:00,adaptive_trail,12.334390760523206,True,12
long,70086.727972,2026-03-24 13:55:00+00:00,70086.727972,2026-03-24 14:10:00+00:00,breakeven_sl,0.7187588419410783,True,3
long,70695.0688,2026-03-25 15:20:00+00:00,70777.38205672523,2026-03-25 16:05:00+00:00,breakeven_sl,2.6358912906375247,True,9
long,70809.860278,2026-03-26 02:35:00+00:00,70809.860278,2026-03-26 03:20:00+00:00,breakeven_sl,-0.09356497786785256,True,9
long,70800.029295,2026-03-26 02:40:00+00:00,70800.029295,2026-03-26 03:20:00+00:00,breakeven_sl,-0.0987049568633066,True,8
short,66666.26270699999,2026-03-28 13:40:00+00:00,66767.35520699999,2026-03-28 13:45:00+00:00,stop_loss,-4.632793376892989,False,1
short,67236.155712,2026-03-28 15:25:00+00:00,66958.43304080356,2026-03-28 17:00:00+00:00,breakeven_sl,6.664018611079713,True,19
short,67047.864543,2026-03-29 03:20:00+00:00,66734.36700508215,2026-03-29 05:05:00+00:00,adaptive_trail,7.322467737628348,True,21
short,67020.90723900001,2026-03-29 03:25:00+00:00,66734.36700508215,2026-03-29 05:05:00+00:00,adaptive_trail,6.707259086039775,True,20
