side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done
long,71647.48,2026-03-15 20:30:00+00:00,71964.93,2026-03-15 22:10:00+00:00,atr_trail_1.5,7.281570473338864,True
long,74546.75,2026-03-17 21:05:00+00:00,73705.14928571429,2026-03-18 00:20:00+00:00,stop_loss,-24.179138977506398,False
long,74311.79,2026-03-17 09:25:00+00:00,73371.52785714285,2026-03-18 11:30:00+00:00,stop_loss,-26.905867153977688,False
long,70728.41,2026-03-21 05:15:00+00:00,70106.75964285714,2026-03-21 23:30:00+00:00,stop_loss,-19.178519215768095,False
long,71715.24,2026-03-25 12:55:00+00:00,71037.03,2026-03-25 15:05:00+00:00,stop_loss,-20.51397142364737,False
long,70921.47,2026-03-26 03:55:00+00:00,70198.6875,2026-03-26 05:50:00+00:00,stop_loss,-21.982614742757058,False
short,110782.48,2025-09-04 12:30:00+00:00,110154.39,2025-09-04 14:35:00+00:00,ema9_trail,9.41979044236696,True
short,109848.67,2025-09-04 19:35:00+00:00,110829.52285714286,2025-09-04 22:25:00+00:00,stop_loss,-19.458256402064066,False
short,110889.93,2025-09-06 04:05:00+00:00,110267.99,2025-09-06 16:55:00+00:00,ema9_trail,9.381606458120679,True
short,110808.01,2025-09-06 09:00:00+00:00,110267.99,2025-09-06 16:55:00+00:00,ema9_trail,7.784931391047936,True
short,110757.83,2025-09-06 12:30:00+00:00,110267.99,2025-09-06 16:55:00+00:00,ema9_trail,6.760029392826738,True
short,110187.97,2025-09-06 23:55:00+00:00,110626.15428571428,2025-09-07 02:55:00+00:00,stop_loss,-9.553396105115223,False
short,111022.05,2025-09-09 17:50:00+00:00,112128.47571428571,2025-09-10 07:25:00+00:00,stop_loss,-21.531639062433264,False
short,111209.72,2025-09-09 20:10:00+00:00,112203.63428571429,2025-09-10 07:25:00+00:00,stop_loss,-19.474593798353006,False
short,115677.95,2025-09-13 16:05:00+00:00,115349.19,2025-09-13 17:15:00+00:00,ema9_trail,3.967753281539629,True
short,114942.19,2025-09-15 12:05:00+00:00,114851.41,2025-09-15 13:50:00+00:00,ema9_trail,0.7767711900589592,True
