open,high,low,close,volume,taker_buy_volume,datetime
63114.8,63484.9,63041.9,63199.8,10034.92,5542.98,2026-07-10 02:00:00
63199.9,63365.0,63130.0,63222.9,2981.368,1701.668,2026-07-10 03:00:00
63222.9,63300.0,63148.1,63288.7,1854.485,801.058,2026-07-10 04:00:00
63288.8,63371.7,63162.7,63248.9,1886.986,888.323,2026-07-10 05:00:00
63249.0,63395.9,63180.9,63186.1,2732.059,1448.615,2026-07-10 06:00:00
63186.2,63299.9,63032.2,63197.0,3222.795,1513.061,2026-07-10 07:00:00
63197.1,63239.2,62897.0,63085.3,4961.377,2309.422,2026-07-10 08:00:00
63085.3,63938.8,62931.7,63726.6,11961.053,7274.574,2026-07-10 09:00:00
63726.7,64022.0,63662.6,63935.0,7618.357,4079.943,2026-07-10 10:00:00
63935.0,64019.7,63789.0,63917.2,4041.922,2011.753,2026-07-10 11:00:00
63917.3,64168.0,63826.4,64019.3,6097.263,3280.043,2026-07-10 12:00:00
64019.2,64185.0,63915.0,64090.0,4203.902,2256.919,2026-07-10 13:00:00
64089.9,64138.7,63804.4,63832.8,4672.326,1848.848,2026-07-10 14:00:00
63832.8,63980.0,63765.5,63956.1,4743.281,2621.44,2026-07-10 15:00:00
63956.1,64387.9,63949.1,64211.4,12036.605,7116.418,2026-07-10 16:00:00
64211.5,64459.9,64065.7,64360.4,8387.949,5144.873,2026-07-10 17:00:00
64360.4,64478.3,64244.6,64374.0,4417.956,2212.711,2026-07-10 18:00:00
64374.0,64450.3,64309.0,64394.2,2719.427,1304.701,2026-07-10 19:00:00
64394.2,64587.9,64236.3,64258.9,6480.494,3630.886,2026-07-10 20:00:00
64258.9,64680.0,64127.0,64453.7,9691.781,5453.845,2026-07-10 21:00:00
64453.6,64491.8,63768.0,63897.9,13660.447,6832.191,2026-07-10 22:00:00
63897.9,64196.1,63875.5,64018.7,5262.22,2928.894,2026-07-10 23:00:00
64018.7,64208.1,63802.4,64118.9,4431.076,2210.977,2026-07-11 00:00:00
64118.9,64139.6,63803.6,63804.0,2988.902,1436.016,2026-07-11 01:00:00
63804.1,63990.0,63718.1,63792.0,2758.665,1380.189,2026-07-11 02:00:00
63792.0,64029.9,63755.8,63900.4,3498.343,1796.478,2026-07-11 03:00:00
63900.4,63909.2,63619.9,63820.0,6698.936,2604.457,2026-07-11 04:00:00
63820.1,64086.4,63813.6,63987.6,2417.892,1315.259,2026-07-11 05:00:00
63987.7,64142.7,63953.9,64089.9,2814.802,1070.821,2026-07-11 06:00:00
64089.8,64176.9,63989.2,64129.5,2223.081,1136.4,2026-07-11 07:00:00
64129.5,64137.1,64000.0,64090.1,1731.884,655.386,2026-07-11 08:00:00
64090.1,64288.7,63969.9,63979.2,2766.132,1362.867,2026-07-11 09:00:00
63979.1,64137.8,63950.1,64130.5,1433.009,727.196,2026-07-11 10:00:00
64130.5,64169.1,64037.4,64117.2,1351.12,662.936,2026-07-11 11:00:00
64117.2,64182.0,64047.2,64123.4,1026.864,461.796,2026-07-11 12:00:00
64123.4,64198.8,64085.2,64141.6,1652.038,862.148,2026-07-11 13:00:00
64141.6,64250.0,64091.6,64186.7,1422.943,748.921,2026-07-11 14:00:00
64186.7,64224.0,64120.6,64132.6,1227.267,502.727,2026-07-11 15:00:00
64132.6,64280.0,64123.0,64239.6,1627.259,1000.052,2026-07-11 16:00:00
64239.6,64272.7,64129.0,64143.0,1347.449,648.823,2026-07-11 17:00:00
64143.1,64185.0,64110.2,64163.9,1266.216,563.734,2026-07-11 18:00:00
64163.9,64192.8,64146.3,64176.0,761.804,413.416,2026-07-11 19:00:00
64176.1,64207.0,64112.0,64168.4,1196.286,573.558,2026-07-11 20:00:00
64168.5,64245.4,64144.4,64213.9,1495.498,779.223,2026-07-11 21:00:00
64213.9,64497.4,64213.9,64321.0,4280.166,2527.908,2026-07-11 22:00:00
64321.0,64461.4,63668.8,64139.0,11703.971,4501.178,2026-07-11 23:00:00
64139.1,64245.3,64050.4,64148.2,2521.736,1276.027,2026-07-12 00:00:00
64148.1,64375.8,64133.4,64289.8,2299.591,1283.002,2026-07-12 01:00:00
64289.8,64368.6,64258.1,64299.7,1059.229,515.208,2026-07-12 02:00:00
64299.7,64313.1,64205.7,64262.0,899.66,383.838,2026-07-12 03:00:00
64261.9,64438.9,64261.9,64353.2,1218.353,764.833,2026-07-12 04:00:00
64353.3,64404.7,64310.0,64325.5,906.265,375.283,2026-07-12 05:00:00
64325.5,64405.2,64110.5,64169.1,2214.267,962.766,2026-07-12 06:00:00
64169.1,64223.2,63776.0,63783.0,6265.888,2721.142,2026-07-12 07:00:00
63783.1,63884.9,63657.4,63802.9,4816.995,2522.698,2026-07-12 08:00:00
63802.9,64146.2,63783.0,64106.0,3478.097,1903.507,2026-07-12 09:00:00
64106.0,64112.7,64002.0,64049.2,1748.455,711.352,2026-07-12 10:00:00
64049.2,64217.8,64002.9,64201.8,2142.993,1293.321,2026-07-12 11:00:00
64201.9,64238.0,63912.5,63974.3,2506.065,1123.819,2026-07-12 12:00:00
63974.2,63998.6,63867.0,63938.0,1922.293,834.438,2026-07-12 13:00:00
63938.0,63938.0,63602.8,63728.7,5247.13,2546.681,2026-07-12 14:00:00
63728.6,63879.0,63708.2,63856.4,1638.415,969.429,2026-07-12 15:00:00
63856.4,64083.7,63854.1,63951.6,2612.699,1284.712,2026-07-12 16:00:00
63951.6,64024.4,63730.7,63930.0,3030.6,1460.428,2026-07-12 17:00:00
63930.1,63930.1,63807.3,63838.9,1174.004,519.159,2026-07-12 18:00:00
63838.9,64012.8,63796.3,63993.8,1872.65,1097.642,2026-07-12 19:00:00
63993.8,64118.5,63946.0,63998.4,2403.082,1448.586,2026-07-12 20:00:00
63998.5,64073.4,63959.3,63997.3,1262.062,614.28,2026-07-12 21:00:00
63997.3,64271.9,63928.0,64175.0,2804.565,1625.038,2026-07-12 22:00:00
64175.0,64238.9,64091.5,64149.9,2903.188,1313.69,2026-07-12 23:00:00
64150.0,64184.8,64013.0,64146.8,2987.458,1281.309,2026-07-13 00:00:00
64146.7,64146.8,63983.1,64050.3,1096.969,496.647,2026-07-13 01:00:00
64050.2,64126.6,63985.1,64124.6,1249.778,563.396,2026-07-13 02:00:00
64124.7,64248.0,64114.9,64201.9,1298.912,749.587,2026-07-13 03:00:00
64202.0,64227.4,64141.6,64168.5,878.789,345.928,2026-07-13 04:00:00
64168.5,64207.4,63856.3,63889.6,2630.665,1127.242,2026-07-13 05:00:00
63889.5,63895.8,63634.1,63855.0,6060.141,2842.311,2026-07-13 06:00:00
63855.0,63883.6,63693.0,63750.0,2325.941,1187.937,2026-07-13 07:00:00
63749.9,64411.8,63538.0,64041.8,16536.408,8064.614,2026-07-13 08:00:00
64041.8,64044.0,63366.0,63382.1,12315.44,5519.01,2026-07-13 09:00:00
63382.1,63527.6,63204.0,63344.8,7882.245,4102.061,2026-07-13 10:00:00
63344.9,63362.4,62705.0,62780.2,15709.528,6832.73,2026-07-13 11:00:00
62780.1,62884.8,62592.1,62649.8,6758.166,3399.097,2026-07-13 12:00:00
62649.7,62880.0,62434.9,62764.1,8371.052,3988.282,2026-07-13 13:00:00
62764.1,62848.2,62675.0,62766.6,2684.94,1516.223,2026-07-13 14:00:00
62766.6,63030.0,62719.4,62952.7,6413.166,3598.088,2026-07-13 15:00:00
62952.8,63260.0,62902.5,63174.9,5653.085,2975.79,2026-07-13 16:00:00
63174.9,63179.3,63064.4,63074.0,3292.544,1153.111,2026-07-13 17:00:00
