side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2024-11-20 03:00:00,2024-11-20 15:00:00,3143.3,3111.12,-44.950593325486324,MH,2024-11
L,2024-11-23 08:00:00,2024-11-23 20:00:00,3330.04,3403.01,83.65059879160643,MH,2024-11
L,2024-11-23 22:00:00,2024-11-24 10:00:00,3438.24,3432.9,-10.212480804131987,MH,2024-11
S,2024-11-24 21:00:00,2024-11-25 09:00:00,3317.84,3330.58,-19.359390446796446,MH,2024-11
L,2024-11-25 16:00:00,2024-11-26 04:00:00,3401.66,3504.6,117.04678304122112,MH,2024-11
S,2024-11-26 19:00:00,2024-11-27 07:00:00,3320.11,3327.17,-12.505742279623199,MH,2024-11
L,2024-11-27 22:00:00,2024-11-28 10:00:00,3508.28,3624.0,127.93929788956387,MH,2024-11
S,2024-11-28 12:00:00,2024-11-29 00:00:00,3601.12,3542.56,61.04642999955563,MH,2024-11
L,2024-11-29 20:00:00,2024-11-30 08:00:00,3596.64,3592.76,-8.315138573779588,MH,2024-11
L,2024-11-30 14:00:00,2024-12-01 02:00:00,3696.69,3673.87,-28.692359921984437,MH,2024-12
L,2024-12-03 00:00:00,2024-12-03 12:00:00,3674.54,3647.48,-33.45674832768177,MH,2024-12
S,2024-12-03 19:00:00,2024-12-04 07:00:00,3597.21,3616.82,-25.805788374879562,MH,2024-12
L,2024-12-04 15:00:00,2024-12-05 03:00:00,3696.96,3843.36,154.40041547649972,MH,2024-12
L,2024-12-05 05:00:00,2024-12-05 17:00:00,3882.41,3924.34,39.19997115193943,MH,2024-12
L,2024-12-06 12:00:00,2024-12-07 00:00:00,3909.83,4006.73,95.13474498891266,MH,2024-12
L,2024-12-07 03:00:00,2024-12-07 15:00:00,4054.41,3989.09,-68.44340853539697,MH,2024-12
S,2024-12-08 14:00:00,2024-12-09 02:00:00,3973.58,3970.44,-0.8391224034750802,MH,2024-12
S,2024-12-09 12:00:00,2024-12-10 00:00:00,3932.53,3848.61,81.35980653675885,MH,2024-12
S,2024-12-10 04:00:00,2024-12-10 16:00:00,3797.28,3743.58,52.56680571356368,MH,2024-12
S,2024-12-11 10:00:00,2024-12-11 16:00:00,3567.6,3692.4659999999994,-143.9999999999995,SL,2024-12
L,2024-12-11 20:00:00,2024-12-12 08:00:00,3716.1,3816.99,104.59772341971407,MH,2024-12
L,2024-12-12 23:00:00,2024-12-13 06:00:00,3981.0,3841.665,-144.00000000000003,SL,2024-12
S,2024-12-13 16:00:00,2024-12-14 04:00:00,3884.57,3916.29,-36.66255982000561,MH,2024-12
L,2024-12-14 15:00:00,2024-12-15 03:00:00,3930.2,3857.74,-77.74688311027433,MH,2024-12
L,2024-12-15 10:00:00,2024-12-15 22:00:00,3888.1,3905.83,14.240271597952745,MH,2024-12
L,2024-12-16 01:00:00,2024-12-16 13:00:00,3910.28,3965.75,52.74273965035731,MH,2024-12
S,2024-12-16 20:00:00,2024-12-17 02:00:00,3909.1,4045.9184999999998,-143.99999999999986,SL,2024-12
L,2024-12-17 02:00:00,2024-12-17 14:00:00,4033.64,4009.08,-28.35517299511106,MH,2024-12
S,2024-12-18 07:00:00,2024-12-18 19:00:00,3881.46,3880.88,-3.402286768381045,MH,2024-12
S,2024-12-19 08:00:00,2024-12-19 20:00:00,3625.41,3678.43,-62.49821123679803,MH,2024-12
S,2024-12-19 23:00:00,2024-12-20 11:00:00,3636.6,3413.41,241.49304295220819,MH,2024-12
S,2024-12-20 20:00:00,2024-12-20 21:00:00,3103.99,3212.6296499999994,-143.99999999999952,SL,2024-12
